# M_T	 rho_0	 phi_0	 R_F	 N_F	 R_B	 R_B_0	 N_B	 N_B/N_F	 omega	 mu	 lambda	 R_G	 
2.4139094715e+00 2.5640158468e-03 0.0000000000e+00 1.1611759853e+01 2.9105115756e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e-01 2.5132741229e+01 1.1197432416e+01
2.4104218797e+00 2.6133238438e-03 0.0000000000e+00 1.1559299287e+01 2.9048346723e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e-01 2.5132741229e+01 1.1143904757e+01
2.4066340145e+00 2.6626318409e-03 0.0000000000e+00 1.1509895796e+01 2.8986547925e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e-01 2.5132741229e+01 1.1098221670e+01
2.4025995515e+00 2.7119398379e-03 0.0000000000e+00 1.1461516137e+01 2.8920610460e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e-01 2.5132741229e+01 1.1055307254e+01
2.3979427696e+00 2.7612478350e-03 0.0000000000e+00 1.1410627369e+01 2.8844369504e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e-01 2.5132741229e+01 1.1009162721e+01
2.3930953131e+00 2.8105558320e-03 0.0000000000e+00 1.1362420752e+01 2.8764832066e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e-01 2.5132741229e+01 1.0961172406e+01
2.3880997111e+00 2.8598638291e-03 0.0000000000e+00 1.1316031076e+01 2.8682701807e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e-01 2.5132741229e+01 1.0917796545e+01
2.3829903852e+00 2.9091718261e-03 0.0000000000e+00 1.1270261467e+01 2.8598560019e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e-01 2.5132741229e+01 1.0874420684e+01
2.3777957250e+00 2.9584798232e-03 0.0000000000e+00 1.1227433572e+01 2.8512905931e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e-01 2.5132741229e+01 1.0833813495e+01
2.3721883430e+00 3.0077878203e-03 0.0000000000e+00 1.1182514753e+01 2.8420342804e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e-01 2.5132741229e+01 1.0789976188e+01
