# M_T	 rho_0	 phi_0	 R_F	 N_F	 R_B	 R_B_0	 N_B	 N_B/N_F	 omega	 mu	 lambda	 R_G	 
1.0562731414e-01 2.4263236292e-04 1.2783050537e-03 4.1317865459e+01 9.5579626309e-02 1.9517277324e+01 1.9660065363e+01 1.0615208114e-02 1.1106141052e-01 1.0259406509e+00 1.0000000000e+00 0.0000000000e+00 1.8734666041e+01
1.1009442394e-01 2.5131754183e-04 1.3317108154e-03 3.6248960592e+01 9.9652603515e-02 1.9527429121e+01 1.9668868875e+01 1.1067765308e-02 1.1106348372e-01 1.0269300363e+00 1.0000000000e+00 0.0000000000e+00 1.8567622831e+01
1.1500841202e-01 2.6018556661e-04 1.3923645020e-03 3.2312132536e+01 1.0412080795e-01 1.9522814668e+01 1.9661658791e+01 1.1581363630e-02 1.1123005918e-01 1.0279769936e+00 1.0000000000e+00 0.0000000000e+00 1.8430112123e+01
1.1992059703e-01 2.6923643726e-04 1.4514923096e-03 2.9411148308e+01 1.0862054214e-01 1.9506202636e+01 1.9665999261e+01 1.2065252369e-02 1.1107707742e-01 1.0289944442e+00 1.0000000000e+00 0.0000000000e+00 1.8310136336e+01
1.2554470691e-01 2.7847015378e-04 1.5205383301e-03 2.6907692023e+01 1.1375750849e-01 1.9508971308e+01 1.9662524001e+01 1.2638577806e-02 1.1110104267e-01 1.0301236969e+00 1.0000000000e+00 0.0000000000e+00 1.8224307505e+01
1.3137258385e-01 2.8788671618e-04 1.5926361084e-03 2.4922849820e+01 1.1908839396e-01 1.9508971308e+01 1.9670592085e+01 1.3229845886e-02 1.1109265519e-01 1.0312576638e+00 1.0000000000e+00 0.0000000000e+00 1.8135710001e+01
1.3719057121e-01 2.9748612445e-04 1.6654968262e-03 2.3367642061e+01 1.2440879080e-01 1.9496050838e+01 1.9664276052e+01 1.3826545506e-02 1.1113801056e-01 1.0323600892e+00 1.0000000000e+00 0.0000000000e+00 1.8063724529e+01
1.4411215536e-01 3.0726837858e-04 1.7524719238e-03 2.1888954916e+01 1.3076106085e-01 1.9475747244e+01 1.9659647178e+01 1.4520513294e-02 1.1104615701e-01 1.0336363664e+00 1.0000000000e+00 0.0000000000e+00 1.7969589682e+01
1.5103878565e-01 3.1723347859e-04 1.8409729004e-03 2.0715340816e+01 1.3710175350e-01 1.9483130369e+01 1.9667239396e+01 1.5238058897e-02 1.1114415759e-01 1.0348710277e+00 1.0000000000e+00 0.0000000000e+00 1.7903141554e+01
1.5808344873e-01 3.2738142448e-04 1.9321441650e-03 1.9741669536e+01 1.4356931864e-01 1.9457289431e+01 1.9661788573e+01 1.5956558897e-02 1.1114184457e-01 1.0360973700e+00 1.0000000000e+00 0.0000000000e+00 1.7818235613e+01
1.6640950954e-01 3.3771221623e-04 2.0408630371e-03 1.8803219513e+01 1.5121595095e-01 1.9438153870e+01 1.9658911750e+01 1.6812618540e-02 1.1118283775e-01 1.0375004290e+00 1.0000000000e+00 0.0000000000e+00 1.7713948968e+01
1.7468658790e-01 3.4822585386e-04 2.1476745605e-03 1.8035561944e+01 1.5884939744e-01 1.9438326912e+01 1.9668349749e+01 1.7641981327e-02 1.1106105287e-01 1.0388495072e+00 1.0000000000e+00 0.0000000000e+00 1.7621659902e+01
1.8314111049e-01 3.5892233735e-04 2.2605895996e-03 1.7383626211e+01 1.6662382837e-01 1.9421354375e+01 1.9665667598e+01 1.8522378241e-02 1.1116284161e-01 1.0401895332e+00 1.0000000000e+00 0.0000000000e+00 1.7516508047e+01
1.9323037634e-01 3.6980166672e-04 2.3948669434e-03 1.6742217201e+01 1.7594696609e-01 1.9400113470e+01 1.9662170707e+01 1.9541966698e-02 1.1106736952e-01 1.0417360906e+00 1.0000000000e+00 0.0000000000e+00 1.7377137136e+01
2.0325989159e-01 3.8086384196e-04 2.5302886963e-03 1.6203342784e+01 1.8521488007e-01 1.9378072245e+01 1.9658507985e+01 2.0570618164e-02 1.1106352878e-01 1.0432173011e+00 1.0000000000e+00 0.0000000000e+00 1.7236965907e+01
2.1319497390e-01 3.9210886308e-04 2.6649475098e-03 1.5759554947e+01 1.9440048505e-01 1.9362505676e+01 1.9669734085e+01 2.1599339723e-02 1.1110743740e-01 1.0446392422e+00 1.0000000000e+00 0.0000000000e+00 1.7103269332e+01
2.2555362496e-01 4.0353673006e-04 2.8335571289e-03 1.5296912741e+01 2.0585511473e-01 1.9342850988e+01 1.9670909328e+01 2.2871931669e-02 1.1110693897e-01 1.0463456286e+00 1.0000000000e+00 0.0000000000e+00 1.6921185888e+01
2.3779588721e-01 4.1514744292e-04 3.0014038086e-03 1.4915967990e+01 2.1724230727e-01 1.9301515581e+01 1.9669467312e+01 2.4115512476e-02 1.1100744040e-01 1.0479694176e+00 1.0000000000e+00 0.0000000000e+00 1.6732187975e+01
2.4988533751e-01 4.2694100165e-04 3.1700134277e-03 1.4597895165e+01 2.2846064696e-01 1.9278767768e+01 1.9666229984e+01 2.5392249208e-02 1.1114495886e-01 1.0495178744e+00 1.0000000000e+00 0.0000000000e+00 1.6561777656e+01
2.6425382110e-01 4.3891740625e-04 3.3706665039e-03 1.4279988172e+01 2.4184394722e-01 1.9226653286e+01 1.9668515581e+01 2.6889475633e-02 1.1118523305e-01 1.0512956942e+00 1.0000000000e+00 0.0000000000e+00 1.6332468166e+01
2.7925932220e-01 4.5107665672e-04 3.5781860352e-03 1.4007987779e+01 2.5588246287e-01 1.9176146652e+01 1.9670145059e+01 2.8425283285e-02 1.1108726626e-01 1.0530702179e+00 1.0000000000e+00 0.0000000000e+00 1.6090000275e+01
2.9403217296e-01 4.6341875306e-04 3.7857055664e-03 1.3773948475e+01 2.6969257660e-01 1.9134068606e+01 1.9669986438e+01 2.9981940242e-02 1.1117080277e-01 1.0547539624e+00 1.0000000000e+00 0.0000000000e+00 1.5855960971e+01
3.1001129083e-01 4.7594369528e-04 4.0084838867e-03 1.3569153269e+01 2.8469924865e-01 1.9062169655e+01 1.9671046320e+01 3.1635873188e-02 1.1112032553e-01 1.0565166782e+00 1.0000000000e+00 0.0000000000e+00 1.5592100762e+01
3.2831307944e-01 4.8865148336e-04 4.2648315430e-03 1.3369556533e+01 3.0191713070e-01 1.8980717344e+01 1.9662307699e+01 3.3549742238e-02 1.1112235387e-01 1.0584499449e+00 1.0000000000e+00 0.0000000000e+00 1.5303920942e+01
3.4629434856e-01 5.0154211732e-04 4.5150756836e-03 1.3199715810e+01 3.1889767336e-01 1.8884693455e+01 1.9665984841e+01 3.5417387724e-02 1.1106191949e-01 1.0602730055e+00 1.0000000000e+00 0.0000000000e+00 1.5015935795e+01
3.6388283412e-01 5.1461559715e-04 4.7622680664e-03 1.3064959353e+01 3.3549961203e-01 1.8794250170e+01 1.9666042522e+01 3.7300988054e-02 1.1118042083e-01 1.0620024101e+00 1.0000000000e+00 0.0000000000e+00 1.4748297503e+01
3.8518082213e-01 5.2787192285e-04 5.0582885742e-03 1.2926042678e+01 3.5571499017e-01 1.8670085325e+01 1.9673447278e+01 3.9536954028e-02 1.1114784341e-01 1.0640247657e+00 1.0000000000e+00 0.0000000000e+00 1.4417405150e+01
4.0686349576e-01 5.4131109443e-04 5.3573608398e-03 1.2815562572e+01 3.7637704289e-01 1.8515320887e+01 1.9666042522e+01 4.1806366083e-02 1.1107575999e-01 1.0659976536e+00 1.0000000000e+00 0.0000000000e+00 1.4100211955e+01
4.2803296715e-01 5.5493311187e-04 5.6503295898e-03 1.2721856724e+01 3.9657637793e-01 1.8377301867e+01 1.9670844437e+01 4.4067961178e-02 1.1112099366e-01 1.0678641061e+00 1.0000000000e+00 0.0000000000e+00 1.3814530429e+01
4.4950241041e-01 5.6873797519e-04 5.9463500977e-03 1.2642488127e+01 4.1713704333e-01 1.8209335767e+01 1.9662408640e+01 4.6361195905e-02 1.1114140220e-01 1.0697126053e+00 1.0000000000e+00 0.0000000000e+00 1.3528434323e+01
4.7526635256e-01 5.8272568438e-04 6.2957763672e-03 1.2562477833e+01 4.4195927119e-01 1.7996443637e+01 1.9672517177e+01 4.9063517269e-02 1.1101366227e-01 1.0718530778e+00 1.0000000000e+00 0.0000000000e+00 1.3197412189e+01
5.0037334699e-01 5.9689623944e-04 6.6375732422e-03 1.2503138847e+01 4.6619766065e-01 1.7774675895e+01 1.9667304287e+01 5.1751408613e-02 1.1100743951e-01 1.0738755193e+00 1.0000000000e+00 0.0000000000e+00 1.2901813193e+01
5.2472626969e-01 6.1124964037e-04 6.9732666016e-03 1.2453612785e+01 4.8971648509e-01 1.7547940405e+01 1.9675314689e+01 5.4448913484e-02 1.1118456320e-01 1.0758021612e+00 1.0000000000e+00 0.0000000000e+00 1.2630778952e+01
5.5036506576e-01 6.2578588718e-04 7.3150634766e-03 1.2412774873e+01 5.1473228531e-01 1.7300374985e+01 1.9672387395e+01 5.7140433821e-02 1.1101000550e-01 1.0777844753e+00 1.0000000000e+00 0.0000000000e+00 1.2363962609e+01
5.7954528256e-01 6.4050497985e-04 7.7117919922e-03 1.2370112810e+01 5.4319324062e-01 1.7021467332e+01 1.9669546622e+01 6.0347249810e-02 1.1109720316e-01 1.0799982414e+00 1.0000000000e+00 0.0000000000e+00 1.2087556855e+01
6.0783273174e-01 6.5540691840e-04 8.0963134766e-03 1.2339433906e+01 5.7088947127e-01 1.6724981496e+01 1.9667160085e+01 6.3485362646e-02 1.1120429758e-01 1.0821031315e+00 1.0000000000e+00 0.0000000000e+00 1.1836069150e+01
6.3525490197e-01 6.7049170282e-04 8.4625244141e-03 1.2323160748e+01 5.9793745485e-01 1.6457682078e+01 1.9679655159e+01 6.6456793986e-02 1.1114338707e-01 1.0841111778e+00 1.0000000000e+00 0.0000000000e+00 1.1609960937e+01
6.6368847678e-01 6.8575933311e-04 8.8470458984e-03 1.2302208245e+01 6.2604692833e-01 1.6170937065e+01 1.9679482117e+01 6.9610293393e-02 1.1119021633e-01 1.0861924272e+00 1.0000000000e+00 0.0000000000e+00 1.1401387647e+01
6.9586682853e-01 7.0120980928e-04 9.2803955078e-03 1.2294644868e+01 6.5803743407e-01 1.5868048675e+01 1.9681349529e+01 7.3167337470e-02 1.1119023582e-01 1.0885139888e+00 1.0000000000e+00 0.0000000000e+00 1.1190968576e+01
7.2699326297e-01 7.1684313131e-04 9.6954345703e-03 1.2282207474e+01 6.8919603837e-01 1.5560286269e+01 1.9681609092e+01 7.6562735172e-02 1.1108992349e-01 1.0907311819e+00 1.0000000000e+00 0.0000000000e+00 1.1058533766e+01
7.5696099298e-01 7.3265929922e-04 1.0098266602e-02 1.2279770466e+01 7.1931211093e-01 1.5292056750e+01 1.9682531982e+01 7.9874396513e-02 1.1104275223e-01 1.0928692978e+00 1.0000000000e+00 0.0000000000e+00 1.1015157905e+01
7.8647431298e-01 7.4865831300e-04 1.0501098633e-02 1.2279251340e+01 7.4906091798e-01 1.5025745113e+01 1.9683043898e+01 8.3202990207e-02 1.1107640008e-01 1.0949973410e+00 1.0000000000e+00 0.0000000000e+00 1.1000853100e+01
8.2090181596e-01 7.6484017265e-04 1.0971069336e-02 1.2273793307e+01 7.8398083233e-01 1.4724962068e+01 1.9673620320e+01 8.7064798502e-02 1.1105475404e-01 1.0974765993e+00 1.0000000000e+00 0.0000000000e+00 1.1004544662e+01
8.5393509483e-01 7.8120487817e-04 1.1428833008e-02 1.2274918080e+01 8.1761779361e-01 1.4445528080e+01 1.9678919731e+01 9.0840473069e-02 1.1110383578e-01 1.0998696225e+00 1.0000000000e+00 0.0000000000e+00 1.1020233803e+01
8.8570892964e-01 7.9775242956e-04 1.1868286133e-02 1.2279503693e+01 8.5020003056e-01 1.4199087432e+01 1.9682726655e+01 9.4430744563e-02 1.1106885576e-01 1.1021829545e+00 1.0000000000e+00 0.0000000000e+00 1.1040537398e+01
9.1614002781e-01 8.1448282683e-04 1.2295532227e-02 1.2287427575e+01 8.8154030784e-01 1.3955985053e+01 1.9685610688e+01 9.7910759648e-02 1.1106781933e-01 1.1044370280e+00 1.0000000000e+00 0.0000000000e+00 1.1066839782e+01
