# M_T	 rho_0	 E_0	 R_F	 N_F	 R_B	 R_B_0	 N_B	 N_B/N_F	 omega	 mu	 lambda	 R_G	 
1.7612316023e-01 3.0726837858e-04 9.4437599182e-05 2.3625070875e+01 1.3559903374e-01 2.4572423188e+02 2.4629490907e+02 4.0670728953e-01 2.9993376672e+00 1.0439198986e-01 1.0000000000e-01 0.0000000000e+00 2.4554703687e+02
1.8494493810e-01 3.1723347859e-04 9.7441673279e-05 2.2171510871e+01 1.4243743498e-01 2.4585064627e+02 2.4641606010e+02 4.2740163788e-01 3.0006271731e+00 1.0459564925e-01 1.0000000000e-01 0.0000000000e+00 2.4567345126e+02
1.9394891258e-01 3.2738142448e-04 1.0044574738e-04 2.0990218032e+01 1.4945134428e-01 2.4598356416e+02 2.4654524316e+02 4.4826931131e-01 2.9994331163e+00 1.0480283577e-01 1.0000000000e-01 0.0000000000e+00 2.4579160290e+02
2.0466213641e-01 3.3771221623e-04 1.0402202606e-04 1.9870340683e+01 1.5779445650e-01 2.4611880369e+02 2.4669160786e+02 4.7321614751e-01 2.9989402543e+00 1.0504682608e-01 1.0000000000e-01 0.0000000000e+00 2.4592684243e+02
2.1544073847e-01 3.4822585386e-04 1.0759830475e-04 1.8972714152e+01 1.6616101102e-01 2.4628434720e+02 2.4685024411e+02 4.9868572864e-01 3.0012198744e+00 1.0528903149e-01 1.0000000000e-01 0.0000000000e+00 2.4609238594e+02
2.2643306726e-01 3.5892233735e-04 1.1117458344e-04 1.8227544832e+01 1.7475838164e-01 2.4643993359e+02 2.4700848381e+02 5.2414775476e-01 2.9992710497e+00 1.0553611763e-01 1.0000000000e-01 0.0000000000e+00 2.4624797233e+02
2.3973761350e-01 3.6980166672e-04 1.1551380157e-04 1.7491669310e+01 1.8512947985e-01 2.4661955118e+02 2.4719836135e+02 5.5544613206e-01 3.0003116333e+00 1.0583138917e-01 1.0000000000e-01 0.0000000000e+00 2.4642758993e+02
2.5303849468e-01 3.8086384196e-04 1.1980533600e-04 1.6888098816e+01 1.9552982271e-01 2.4681335822e+02 2.4739490822e+02 5.8658711470e-01 2.9999879639e+00 1.0612450098e-01 1.0000000000e-01 0.0000000000e+00 2.4662139697e+02
2.6632767194e-01 3.9210886308e-04 1.2409687042e-04 1.6396594647e+01 2.0591501892e-01 2.4700111600e+02 2.4759039521e+02 6.1791575797e-01 3.0008289887e+00 1.0641540342e-01 1.0000000000e-01 0.0000000000e+00 2.4680915475e+02
2.8297608806e-01 4.0353673006e-04 1.2938976288e-04 1.5887757438e+01 2.1897794332e-01 2.4726012383e+02 2.4783642488e+02 6.5688862312e-01 2.9997935554e+00 1.0677806145e-01 1.0000000000e-01 0.0000000000e+00 2.4705339632e+02
2.9970673302e-01 4.1514744292e-04 1.3473033905e-04 1.5478152605e+01 2.3208773004e-01 2.4750021960e+02 2.4809905938e+02 6.9646750740e-01 3.0008803450e+00 1.0713849702e-01 1.0000000000e-01 0.0000000000e+00 2.4730825834e+02
3.1630534765e-01 4.2694100165e-04 1.3997554779e-04 1.5132681464e+01 2.4515148033e-01 2.4776016473e+02 2.4835315713e+02 7.3543274996e-01 2.9999115199e+00 1.0749532700e-01 1.0000000000e-01 0.0000000000e+00 2.4756820348e+02
3.3628830765e-01 4.3891740625e-04 1.4631748199e-04 1.4799575615e+01 2.6088604771e-01 2.4806200766e+02 2.4866484904e+02 7.8259499543e-01 2.9997579491e+00 1.0792247506e-01 1.0000000000e-01 0.0000000000e+00 2.4785528015e+02
3.5740513393e-01 4.5107665672e-04 1.5299320221e-04 1.4504128032e+01 2.7754630221e-01 2.4840152327e+02 2.4899695268e+02 8.3249928770e-01 2.9994969526e+00 1.0837046393e-01 1.0000000000e-01 0.0000000000e+00 2.4819479577e+02
3.7846610051e-01 4.6341875306e-04 1.5971660614e-04 1.4266728829e+01 2.9415852273e-01 2.4871046092e+02 2.4932212744e+02 8.8269190877e-01 3.0007354558e+00 1.0881454685e-01 1.0000000000e-01 0.0000000000e+00 2.4850373341e+02
4.0147895136e-01 4.7594369528e-04 1.6703605652e-04 1.4052401892e+01 3.1237574352e-01 2.4908678401e+02 2.4969725365e+02 9.3735767769e-01 3.0007377242e+00 1.0929964905e-01 1.0000000000e-01 0.0000000000e+00 2.4888005650e+02
4.2811738745e-01 4.8865148336e-04 1.7552375793e-04 1.3851370350e+01 3.3355716883e-01 2.4950594941e+02 2.5013887847e+02 1.0003154711e+00 2.9989326105e+00 1.0985947807e-01 1.0000000000e-01 0.0000000000e+00 2.4929922191e+02
4.5469914589e-01 5.0154211732e-04 1.8410682678e-04 1.3693656987e+01 3.5468724539e-01 2.4993887166e+02 2.5057163488e+02 1.0637963685e+00 2.9992518264e+00 1.1041495588e-01 1.0000000000e-01 0.0000000000e+00 2.4973214415e+02
4.8104725103e-01 5.1461559715e-04 1.9268989563e-04 1.3556492363e+01 3.7563814649e-01 2.5039237148e+02 2.5102721841e+02 1.1272499531e+00 3.0008931830e+00 1.1096453721e-01 1.0000000000e-01 0.0000000000e+00 2.5017087772e+02
5.1325753203e-01 5.2787192285e-04 2.0327568054e-04 1.3431065753e+01 4.0140463122e-01 2.5091665989e+02 2.5156576116e+02 1.2041722008e+00 2.9998961326e+00 1.1163870454e-01 1.0000000000e-01 0.0000000000e+00 2.5069516613e+02
5.4651278914e-01 5.4131109443e-04 2.1433830261e-04 1.3321818571e+01 4.2806751182e-01 2.5148664582e+02 2.5214798981e+02 1.2839385340e+00 2.9993832716e+00 1.1233327619e-01 1.0000000000e-01 0.0000000000e+00 2.5127991831e+02
5.7942949883e-01 5.5493311187e-04 2.2549629211e-04 1.3242666277e+01 4.5449949709e-01 2.5207198922e+02 2.5273584953e+02 1.3634187411e+00 2.9998245319e+00 1.1302119352e-01 1.0000000000e-01 0.0000000000e+00 2.5185049546e+02
6.1318000461e-01 5.6873797519e-04 2.3713111877e-04 1.3175634132e+01 4.8169569287e-01 2.5266942394e+02 2.5334373166e+02 1.4449720107e+00 2.9997611192e+00 1.1373029962e-01 1.0000000000e-01 0.0000000000e+00 2.5244793018e+02
6.5412174815e-01 5.8272568438e-04 2.5153160095e-04 1.3108371265e+01 5.1481896504e-01 2.5341430485e+02 2.5410469106e+02 1.5439475809e+00 2.9990106925e+00 1.1459385710e-01 1.0000000000e-01 0.0000000000e+00 2.5319281109e+02
6.9466288319e-01 5.9689623944e-04 2.6621818542e-04 1.3062652127e+01 5.4764194069e-01 2.5418072950e+02 2.5486645799e+02 1.6430862601e+00 3.0002929616e+00 1.1545033424e-01 1.0000000000e-01 0.0000000000e+00 2.5394446949e+02
7.3443913022e-01 6.1124964037e-04 2.8100013733e-04 1.3032333726e+01 5.7999173821e-01 2.5493303680e+02 2.5562736692e+02 1.7403211939e+00 3.0005965245e+00 1.1629763975e-01 1.0000000000e-01 0.0000000000e+00 2.5469677679e+02
7.7655003797e-01 6.2578588718e-04 2.9711723328e-04 1.3006752351e+01 6.1441645635e-01 2.5573436546e+02 2.5645339011e+02 1.8430701317e+00 2.9997082804e+00 1.1720491895e-01 1.0000000000e-01 0.0000000000e+00 2.5549810545e+02
8.2515999545e-01 6.4050497985e-04 3.1633377075e-04 1.2987371647e+01 6.5428785734e-01 2.5670432354e+02 2.5743580723e+02 1.9622694074e+00 2.9990918912e+00 1.1826042897e-01 1.0000000000e-01 0.0000000000e+00 2.5646806353e+02
8.7291421735e-01 6.5540691840e-04 3.3597946167e-04 1.2978878169e+01 6.9354206125e-01 2.5768515444e+02 2.5842462689e+02 2.0804725425e+00 2.9997784687e+00 1.1930620772e-01 1.0000000000e-01 0.0000000000e+00 2.5743412818e+02
9.1958738070e-01 6.7049170282e-04 3.5600662231e-04 1.2975648051e+01 7.3201493425e-01 2.5865651128e+02 2.5941082208e+02 2.1968149949e+00 3.0010521536e+00 1.2034043614e-01 1.0000000000e-01 0.0000000000e+00 2.5840548502e+02
9.6835290593e-01 6.8575933311e-04 3.7775039673e-04 1.2980002942e+01 7.7246775318e-01 2.5970926996e+02 2.6048356712e+02 2.3179907534e+00 3.0007605416e+00 1.2144004863e-01 1.0000000000e-01 0.0000000000e+00 2.5944347745e+02
1.0239043098e+00 7.0120980928e-04 4.0369033813e-04 1.2986016151e+01 8.1884938095e-01 2.6094086755e+02 2.6173270684e+02 2.4557205431e+00 2.9989893138e+00 1.2271361644e-01 1.0000000000e-01 0.0000000000e+00 2.6067507504e+02
1.0783358321e+00 7.1684313131e-04 4.3058395386e-04 1.2994437529e+01 8.6423221797e-01 2.6217488773e+02 2.6298889082e+02 2.5936674839e+00 3.0011233439e+00 1.2397504866e-01 1.0000000000e-01 0.0000000000e+00 2.6190909522e+02
1.1309342017e+00 7.3265929922e-04 4.5785903931e-04 1.3008230418e+01 9.0847208228e-01 2.6342904567e+02 2.6425639462e+02 2.7258573026e+00 3.0004854918e+00 1.2522214476e-01 1.0000000000e-01 0.0000000000e+00 2.6314848691e+02
1.1831322432e+00 7.4865831300e-04 4.8646926880e-04 1.3023176921e+01 9.5257877986e-01 2.6468437165e+02 2.6554462741e+02 2.8575027867e+00 2.9997548204e+00 1.2648595063e-01 1.0000000000e-01 0.0000000000e+00 2.6440381289e+02
1.2444798406e+00 7.6484017265e-04 5.2213668823e-04 1.3045146044e+01 1.0045750506e+00 2.6625678266e+02 2.6712863946e+02 3.0137186872e+00 2.9999935649e+00 1.2800056620e-01 1.0000000000e-01 0.0000000000e+00 2.6594669140e+02
1.3038857879e+00 7.8120487817e-04 5.5913925171e-04 1.3062039270e+01 1.0551525787e+00 2.6779459970e+02 2.6870416523e+02 3.1659500283e+00 3.0004665603e+00 1.2950040240e-01 1.0000000000e-01 0.0000000000e+00 2.6748450844e+02
1.3610917945e+00 7.9775242956e-04 5.9709548950e-04 1.3086020007e+01 1.1041962675e+00 2.6935428492e+02 2.7028943904e+02 3.3123698757e+00 2.9998017321e+00 1.3098350695e-01 1.0000000000e-01 0.0000000000e+00 2.6902942741e+02
1.4161105017e+00 8.1448282683e-04 6.3610076904e-04 1.3103569349e+01 1.1516375115e+00 2.7090750991e+02 2.7186882941e+02 3.4534332125e+00 2.9987154621e+00 1.3244891465e-01 1.0000000000e-01 0.0000000000e+00 2.7058265240e+02
1.4780292976e+00 8.3139606996e-04 6.8340301514e-04 1.3122128104e+01 1.2049920580e+00 2.7269801874e+02 2.7370305298e+02 3.6155506093e+00 3.0004767129e+00 1.3413548108e-01 1.0000000000e-01 0.0000000000e+00 2.7237316122e+02
