# M_T	 rho_0	 phi_0	 R_F	 N_F	 R_B	 R_B_0	 N_B	 N_B/N_F	 omega	 mu	 lambda	 R_G	 
2.8459666369e-01 4.8865148336e-04 5.4000854492e-03 1.2888265447e+01 2.4496501823e-01 1.1420768351e+01 1.1768751982e+01 2.7215373631e-02 1.1109902070e-01 1.7416249403e+00 1.6714000000e+00 0.0000000000e+00 9.7521820323e+00
2.9879076007e-01 5.0154211732e-04 5.6564331055e-03 1.2728987497e+01 2.5746022893e-01 1.1382929834e+01 1.1765132520e+01 2.8621675691e-02 1.1116930879e-01 1.7435841629e+00 1.6714000000e+00 0.0000000000e+00 9.7106519525e+00
3.1267253012e-01 5.1461559715e-04 5.9036254883e-03 1.2587842906e+01 2.6973966782e-01 1.1356166005e+01 1.1766141931e+01 2.9981777494e-02 1.1115079119e-01 1.7454566086e+00 1.6714000000e+00 0.0000000000e+00 9.6801965606e+00
3.2943218001e-01 5.2787192285e-04 6.2026977539e-03 1.2448313374e+01 2.8458594053e-01 1.1320173269e+01 1.1765940049e+01 3.1638333083e-02 1.1117321195e-01 1.7476758430e+00 1.6714000000e+00 0.0000000000e+00 9.6515869501e+00
3.4642710873e-01 5.4131109443e-04 6.5048217773e-03 1.2334523839e+01 2.9969278606e-01 1.1282334752e+01 1.1771686485e+01 3.3317388721e-02 1.1117180750e-01 1.7498672777e+00 1.6714000000e+00 0.0000000000e+00 9.6543556221e+00
3.6300730941e-01 5.5493311187e-04 6.7962646484e-03 1.2233914336e+01 3.1452672822e-01 1.1233421547e+01 1.1769732553e+01 3.4927667393e-02 1.1104832836e-01 1.7519621168e+00 1.6714000000e+00 0.0000000000e+00 9.6497411687e+00
3.7973565300e-01 5.6873797519e-04 7.0953369141e-03 1.2147905253e+01 3.2947340605e-01 1.1183585451e+01 1.1767432536e+01 3.6594543220e-02 1.1106979364e-01 1.7540778327e+00 1.6714000000e+00 0.0000000000e+00 9.6515869501e+00
3.9968237696e-01 5.8272568438e-04 7.4554443359e-03 1.2061333782e+01 3.4730760355e-01 1.1122674667e+01 1.1767764200e+01 3.8614705802e-02 1.1118301300e-01 1.7565748909e+00 1.6714000000e+00 0.0000000000e+00 9.6608158567e+00
4.1911607447e-01 5.9689623944e-04 7.8033447266e-03 1.1996875638e+01 3.6478347823e-01 1.1058072321e+01 1.1767648839e+01 4.0563377312e-02 1.1119850468e-01 1.7589641861e+00 1.6714000000e+00 0.0000000000e+00 9.6737363260e+00
4.3800808008e-01 6.1124964037e-04 8.1390380859e-03 1.1936837274e+01 3.8188038806e-01 1.0980549505e+01 1.1767100873e+01 4.2431812765e-02 1.1111283557e-01 1.7612649373e+00 1.6714000000e+00 0.0000000000e+00 9.7032688272e+00
