# M_T	 rho_0	 E_0	 R_F	 N_F	 R_B	 R_B_0	 N_B	 N_B/N_F	 omega	 mu	 lambda	 R_G	 
6.3033153611e-01 6.2578588718e-04 4.8027038574e-03 1.2264443632e+01 5.2336308158e-01 2.2910881481e+01 2.4517527326e+01 1.3087391093e-01 2.5006332226e-01 1.1171282888e+00 1.0000000000e+00 0.0000000000e+00 1.9736137600e+01
6.5920644302e-01 6.4050497985e-04 5.2192687988e-03 1.2207116259e+01 5.4855902817e-01 2.2587776018e+01 2.4523237712e+01 1.3711565559e-01 2.4995606407e-01 1.1212335004e+00 1.0000000000e+00 0.0000000000e+00 1.9191538378e+01
6.8668750424e-01 6.5540691840e-04 5.6289672852e-03 1.2155989559e+01 5.7263481529e-01 2.2211791804e+01 2.4521810116e+01 1.4310012051e-01 2.4989769516e-01 1.1251336621e+00 1.0000000000e+00 0.0000000000e+00 1.8667891657e+01
7.1282873401e-01 6.7049170282e-04 6.0317993164e-03 1.2105706438e+01 5.9555886839e-01 2.1836651169e+01 2.4535754417e+01 1.4889738264e-01 2.5001287117e-01 1.1288584784e+00 1.0000000000e+00 0.0000000000e+00 1.8189387269e+01
7.3951112279e-01 6.8575933311e-04 6.4529418945e-03 1.2070586122e+01 6.1918814106e-01 2.1432360168e+01 2.4538328417e+01 1.5472202271e-01 2.4987885337e-01 1.1326896248e+00 1.0000000000e+00 0.0000000000e+00 1.7711265014e+01
7.6919033011e-01 7.0120980928e-04 6.9381713867e-03 1.2032942277e+01 6.4549189718e-01 2.0936962554e+01 2.4531406737e+01 1.6133732457e-01 2.4994477122e-01 1.1369728404e+00 1.0000000000e+00 0.0000000000e+00 1.7201101150e+01
7.9737084475e-01 7.1684313131e-04 7.4142456055e-03 1.2000251759e+01 6.7053846917e-01 2.0476065189e+01 2.4537852551e+01 1.6770364001e-01 2.5010293626e-01 1.1410711509e+00 1.0000000000e+00 0.0000000000e+00 1.6740203785e+01
8.2411416340e-01 7.3265929922e-04 7.8750610352e-03 1.1967568452e+01 6.9461405133e-01 2.0015146194e+01 2.4546180197e+01 1.7359006593e-01 2.4990865876e-01 1.1449966346e+00 1.0000000000e+00 0.0000000000e+00 1.6323583541e+01
8.5011483129e-01 7.4865831300e-04 8.3419799805e-03 1.1947228807e+01 7.1793396259e-01 1.9581365952e+01 2.4550650449e+01 1.7953342059e-01 2.5006954671e-01 1.1488906160e+00 1.0000000000e+00 0.0000000000e+00 1.5948868302e+01
8.7999729457e-01 7.6484017265e-04 8.8912963867e-03 1.1918460574e+01 7.4505083604e-01 1.9080063280e+01 2.4553375860e+01 1.8622552628e-01 2.4995009370e-01 1.1534177020e+00 1.0000000000e+00 0.0000000000e+00 1.5521396883e+01
9.0829723887e-01 7.8120487817e-04 9.4314575195e-03 1.1894825921e+01 7.7077902002e-01 1.8628207359e+01 2.4567615775e+01 1.9268362503e-01 2.4998556009e-01 1.1577803949e+00 1.0000000000e+00 0.0000000000e+00 1.5143372215e+01
