# M_T	 rho_0	 phi_0	 R_F	 N_F	 R_B	 R_B_0	 N_B	 N_B/N_F	 omega	 mu	 lambda	 R_G	 k2	 lambda_tidal	 phi_1_0	 H_0	 
2.4661066744e-02 0.0000000000e+00 3.0382889686e-03 1.4766250610e-10 0.0000000000e+00 5.7034624957e+00 1.2407340273e+01 2.4745368090e-03 inf 1.0100603988e+01 1.0000000000e+01 0.0000000000e+00 3.8624987794e+00 3.3912535032e-04 9.4859737412e+00 4.2714358795e+00 1.0000000000e+00
2.5529888799e-02 0.0000000000e+00 3.2719049063e-03 1.4766250610e-10 0.0000000000e+00 5.4782771739e+00 1.1945894941e+01 2.5623664772e-03 inf 1.0108479587e+01 1.0000000000e+01 0.0000000000e+00 3.7099987794e+00 3.3706729762e-04 7.8073455764e+00 4.2662994133e+00 1.0000000000e+00
2.6402596491e-02 0.0000000000e+00 3.5171992673e-03 1.4766250610e-10 0.0000000000e+00 5.2863159160e+00 1.1517673673e+01 2.6506607858e-03 inf 1.0116770738e+01 1.0000000000e+01 0.0000000000e+00 3.5799987794e+00 3.3374181012e-04 6.4515713663e+00 4.2609177241e+00 1.0000000000e+00
2.7278599838e-02 0.0000000000e+00 3.7744568910e-03 1.4766250610e-10 0.0000000000e+00 5.1017377834e+00 1.1111601782e+01 2.7393644170e-03 inf 1.0125490381e+01 1.0000000000e+01 0.0000000000e+00 3.4549987794e+00 3.3146848959e-04 5.3513659557e+00 4.2552855440e+00 1.0000000000e+00
2.8157303086e-02 0.0000000000e+00 4.0439626172e-03 1.4766250610e-10 0.0000000000e+00 4.9134680881e+00 1.0731370828e+01 2.8284205992e-03 inf 1.0134651746e+01 1.0000000000e+01 0.0000000000e+00 3.3274987794e+00 3.2835741647e-04 4.4546943825e+00 4.2493989024e+00 1.0000000000e+00
2.9038104647e-02 0.0000000000e+00 4.3260012853e-03 1.4766250610e-10 0.0000000000e+00 4.7510402327e+00 1.0376981715e+01 2.9177729627e-03 inf 1.0144268368e+01 1.0000000000e+01 0.0000000000e+00 3.2174993897e+00 3.2465417262e-04 3.7208404930e+00 4.2432533660e+00 1.0000000000e+00
2.9920397048e-02 0.0000000000e+00 4.6208577351e-03 1.4766250610e-10 0.0000000000e+00 4.5849199133e+00 1.0033666388e+01 3.0073639688e-03 inf 1.0154354103e+01 1.0000000000e+01 0.0000000000e+00 3.1049993897e+00 3.2140000938e-04 3.1178299761e+00 4.2368444128e+00 1.0000000000e+00
3.0803567812e-02 0.0000000000e+00 4.9288168060e-03 1.4766250610e-10 0.0000000000e+00 4.4409489698e+00 9.7125004376e+00 3.0971350697e-03 inf 1.0164923152e+01 1.0000000000e+01 0.0000000000e+00 3.0074993897e+00 3.1689866538e-04 2.6205045052e+00 4.2301684306e+00 1.0000000000e+00
3.1686998956e-02 0.0000000000e+00 5.2501633377e-03 1.4766250610e-10 0.0000000000e+00 4.2932864637e+00 9.4024091748e+00 3.1870280189e-03 inf 1.0175990073e+01 1.0000000000e+01 0.0000000000e+00 2.9074993897e+00 3.1562510847e-04 2.2087905161e+00 4.2232202129e+00 1.0000000000e+00
3.2570068014e-02 0.0000000000e+00 5.5851821698e-03 1.4766250610e-10 0.0000000000e+00 4.1640817709e+00 9.1107757253e+00 3.2769829993e-03 inf 1.0187569804e+01 1.0000000000e+01 0.0000000000e+00 2.8199993897e+00 3.1194113226e-04 1.8668767543e+00 4.2159975609e+00 1.0000000000e+00
3.3452147882e-02 0.0000000000e+00 5.9341581418e-03 1.4766250610e-10 0.0000000000e+00 4.0348770781e+00 8.8339085263e+00 3.3669402750e-03 inf 1.0199677686e+01 1.0000000000e+01 0.0000000000e+00 2.7324993897e+00 3.0775853238e-04 1.5819794850e+00 4.2084962986e+00 1.0000000000e+00
3.4332607481e-02 0.0000000000e+00 6.2973760933e-03 1.4766250610e-10 0.0000000000e+00 3.9056723852e+00 8.5718075780e+00 3.4568393277e-03 inf 1.0212329481e+01 1.0000000000e+01 0.0000000000e+00 2.6449993897e+00 3.0353900702e-04 1.3438516380e+00 4.2007128167e+00 1.0000000000e+00
3.5210811734e-02 0.0000000000e+00 6.6751208640e-03 1.4766250610e-10 0.0000000000e+00 3.7893881617e+00 8.3078608483e+00 3.5466192195e-03 inf 1.0225541395e+01 1.0000000000e+01 0.0000000000e+00 2.5662493897e+00 3.0413395330e-04 1.1441835563e+00 4.1926423789e+00 1.0000000000e+00
3.6086123640e-02 0.0000000000e+00 7.0676772934e-03 1.4766250610e-10 0.0000000000e+00 3.6749497195e+00 8.0752924012e+00 3.6362181453e-03 inf 1.0239330105e+01 1.0000000000e+01 0.0000000000e+00 2.4887493897e+00 2.9885465837e-04 9.7638362242e-01 4.1842849794e+00 1.0000000000e+00
3.6957902058e-02 0.0000000000e+00 7.4753302211e-03 1.4766250610e-10 0.0000000000e+00 3.5752775278e+00 7.8427239541e+00 3.7255741334e-03 inf 1.0253712780e+01 1.0000000000e+01 0.0000000000e+00 2.4212493897e+00 2.9436310819e-04 8.3493704998e-01 4.1756356875e+00 1.0000000000e+00
3.7825504941e-02 0.0000000000e+00 7.8983644867e-03 1.4766250610e-10 0.0000000000e+00 3.4608390856e+00 7.6249217576e+00 3.8146247313e-03 inf 1.0268707110e+01 1.0000000000e+01 0.0000000000e+00 2.3437493897e+00 2.9206257963e-04 7.1539263838e-01 4.1666912849e+00 1.0000000000e+00
3.8688288032e-02 0.0000000000e+00 8.3370649298e-03 1.4766250610e-10 0.0000000000e+00 3.3630131259e+00 7.4089657931e+00 3.9033068021e-03 inf 1.0284331332e+01 1.0000000000e+01 0.0000000000e+00 2.2774996949e+00 2.8944695111e-04 6.1412690330e-01 4.1574499028e+00 1.0000000000e+00
3.9545607160e-02 0.0000000000e+00 8.7917163900e-03 1.4766250610e-10 0.0000000000e+00 3.2707240596e+00 7.2133129725e+00 3.9915580511e-03 inf 1.0300604260e+01 1.0000000000e+01 0.0000000000e+00 2.2149996949e+00 2.8275318442e-04 5.2816292570e-01 4.1479102887e+00 1.0000000000e+00
4.0396817024e-02 0.0000000000e+00 9.2626037068e-03 1.4766250610e-10 0.0000000000e+00 3.1858181186e+00 7.0250432772e+00 4.0793136666e-03 inf 1.0317545312e+01 1.0000000000e+01 0.0000000000e+00 2.1574996949e+00 2.7979528685e-04 4.5499370502e-01 4.1380678026e+00 1.0000000000e+00
4.1241273222e-02 0.0000000000e+00 9.7500117200e-03 1.4766250610e-10 0.0000000000e+00 3.0953748336e+00 6.8460024886e+00 4.1665104845e-03 inf 1.0335174547e+01 1.0000000000e+01 0.0000000000e+00 2.0962496949e+00 2.7468880302e-04 3.9260485947e-01 4.1279222181e+00 1.0000000000e+00
4.2078332190e-02 0.0000000000e+00 1.0254225269e-02 1.4766250610e-10 0.0000000000e+00 3.0215435806e+00 6.6688074813e+00 4.2530839733e-03 inf 1.0353512692e+01 1.0000000000e+01 0.0000000000e+00 2.0462496949e+00 2.6896459893e-04 3.3929524247e-01 4.1174712206e+00 1.0000000000e+00
4.2907352588e-02 0.0000000000e+00 1.0775529193e-02 1.4766250610e-10 0.0000000000e+00 2.9384834209e+00 6.4971498179e+00 4.3389703485e-03 inf 1.0372581182e+01 1.0000000000e+01 0.0000000000e+00 1.9899996949e+00 2.6440035346e-04 2.9365084561e-01 4.1067126125e+00 1.0000000000e+00
4.3727695852e-02 0.0000000000e+00 1.1314208333e-02 1.4766250610e-10 0.0000000000e+00 2.8535774799e+00 6.3384126239e+00 4.4241499827e-03 inf 1.0392402194e+01 1.0000000000e+01 0.0000000000e+00 1.9324996949e+00 2.6114010505e-04 2.5449747491e-01 4.0956448994e+00 1.0000000000e+00
4.4538725520e-02 0.0000000000e+00 1.1870547527e-02 1.4766250610e-10 0.0000000000e+00 2.7871293522e+00 6.1686007418e+00 4.5084926768e-03 inf 1.0412998687e+01 1.0000000000e+01 0.0000000000e+00 1.8874996949e+00 2.5916519873e-04 2.2085322333e-01 4.0842668276e+00 1.0000000000e+00
4.5339811756e-02 0.0000000000e+00 1.2444831615e-02 1.4766250610e-10 0.0000000000e+00 2.7188354431e+00 6.0264755797e+00 4.5919498676e-03 inf 1.0434394441e+01 1.0000000000e+01 0.0000000000e+00 1.8412496949e+00 2.5300393523e-04 1.9190488458e-01 4.0725791687e+00 1.0000000000e+00
4.6130326964e-02 0.0000000000e+00 1.3037345437e-02 1.4766250610e-10 0.0000000000e+00 2.6523873153e+00 5.8861961989e+00 4.6744594033e-03 inf 1.0456614102e+01 1.0000000000e+01 0.0000000000e+00 1.7962496949e+00 2.4642375990e-04 1.6695039667e-01 4.0605798861e+00 1.0000000000e+00
4.6909649916e-02 0.0000000000e+00 1.3648373833e-02 1.4766250610e-10 0.0000000000e+00 2.5804018436e+00 5.7403794742e+00 4.7559576316e-03 inf 1.0479683226e+01 1.0000000000e+01 0.0000000000e+00 1.7474996949e+00 2.4401481533e-04 1.4539925665e-01 4.0482668690e+00 1.0000000000e+00
4.7677167264e-02 0.0000000000e+00 1.4278201642e-02 1.4766250610e-10 0.0000000000e+00 2.5121079345e+00 5.6130205626e+00 4.8363796404e-03 inf 1.0503628324e+01 1.0000000000e+01 0.0000000000e+00 1.7012496949e+00 2.3894958911e-04 1.2676938538e-01 4.0356419853e+00 1.0000000000e+00
4.8432270480e-02 0.0000000000e+00 1.4927113703e-02 1.4766250610e-10 0.0000000000e+00 2.4641176201e+00 5.4764327445e+00 4.9156607469e-03 inf 1.0528476919e+01 1.0000000000e+01 0.0000000000e+00 1.6687496949e+00 2.3625824130e-04 1.1063644241e-01 4.0227033757e+00 1.0000000000e+00
4.9174361673e-02 0.0000000000e+00 1.5595394856e-02 1.4766250610e-10 0.0000000000e+00 2.4032068363e+00 5.3564569583e+00 4.9937399237e-03 inf 1.0554257592e+01 1.0000000000e+01 0.0000000000e+00 1.6274996949e+00 2.2898722256e-04 9.6654606409e-02 4.0094534949e+00 1.0000000000e+00
4.9902849413e-02 0.0000000000e+00 1.6283329941e-02 1.4766250610e-10 0.0000000000e+00 2.3376818245e+00 5.2318669441e+00 5.0705516809e-03 inf 1.0581000040e+01 1.0000000000e+01 0.0000000000e+00 1.5831248475e+00 2.2419894143e-04 8.4515008132e-02 3.9958901799e+00 1.0000000000e+00
5.0617153632e-02 0.0000000000e+00 1.6991203797e-02 1.4766250610e-10 0.0000000000e+00 2.2804626034e+00 5.1155827205e+00 5.1460330010e-03 inf 1.0608735137e+01 1.0000000000e+01 0.0000000000e+00 1.5443748475e+00 2.1948564401e-04 7.3964349534e-02 3.9820147579e+00 1.0000000000e+00
5.1316703540e-02 0.0000000000e+00 1.7719301265e-02 1.4766250610e-10 0.0000000000e+00 2.2380096329e+00 4.9992984970e+00 5.2201220427e-03 inf 1.0637494994e+01 1.0000000000e+01 0.0000000000e+00 1.5156248475e+00 2.1659299974e-04 6.4782879751e-02 3.9678273163e+00 1.0000000000e+00
5.2000940893e-02 0.0000000000e+00 1.8467907183e-02 1.4766250610e-10 0.0000000000e+00 2.1807904118e+00 4.8977805240e+00 5.2927566598e-03 inf 1.0667313027e+01 1.0000000000e+01 0.0000000000e+00 1.4768748475e+00 2.1192017229e-04 5.6786638033e-02 3.9533300899e+00 1.0000000000e+00
